order_id,line_number,product_id,quantity,unit_price,line_revenue
O0000026,2,P0073,1,56.34,56.34
O0000026,3,P0021,1,65.9,65.9
O0000027,1,P0007,1,95.26,95.26
O0000027,2,P0009,2,38.06,76.12
O0000027,3,P0014,1,47.23,47.23
O0000028,1,P0042,1,79.38,79.38
O0000029,1,P0064,1,36.46,36.46
O0000029,2,P0069,1,21.83,21.83
O0000029,3,P0065,1,71.97,71.97
O0000030,1,P0020,1,54.21,54.21
O0000030,2,P0059,1,98.25,98.25
O0000030,3,P0063,2,54.3,108.6
O0000031,1,P0040,2,22.29,44.58
O0000031,2,P0070,1,110.67,110.67
O0000032,1,P0027,2,49.51,99.02
O0000032,2,P0042,1,79.38,79.38
O0000032,3,P0024,2,37.29,74.58
O0000033,1,P0004,1,47.94,47.94
O0000034,1,P0065,1,71.97,71.97
O0000035,1,P0024,1,37.29,37.29
O0000035,2,P0025,1,24.47,24.47
O0000036,1,P0042,2,79.38,158.76
O0000036,2,P0010,1,101.78,101.78
O0000036,3,P0043,1,30.05,30.05
O0000036,4,P0024,1,37.29,37.29
O0000036,5,P0057,1,40.4,40.4
O0000037,1,P0065,1,71.97,71.97
O0000038,1,P0018,3,89.68,269.04
O0000039,1,P0067,1,28.46,28.46
O0000040,1,P0065,1,71.97,71.97
O0000040,2,P0026,1,48.94,48.94
O0000040,3,P0047,2,109.33,218.66
O0000040,4,P0005,1,78.89,78.89
O0000040,5,P0012,1,80.31,80.31
O0000040,6,P0025,1,24.47,24.47
O0000041,1,P0070,2,110.67,221.34
O0000041,2,P0008,1,28.73,28.73
O0000041,3,P0037,2,53.44,106.88
O0000041,4,P0020,1,54.21,54.21
O0000042,1,P0049,1,63.74,63.74
O0000042,2,P0065,2,71.97,143.94
O0000043,1,P0018,1,89.68,89.68
O0000043,2,P0057,3,40.4,121.2
O0000043,3,P0062,1,88.18,88.18
O0000044,1,P0007,1,95.26,95.26
O0000044,2,P0012,2,80.31,160.62
O0000044,3,P0065,2,71.97,143.94
O0000044,4,P0057,1,40.4,40.4
O0000044,5,P0050,1,82.83,82.83
O0000045,1,P0065,1,71.97,71.97
O0000046,1,P0012,1,80.31,80.31
O0000046,2,P0069,2,21.83,43.66
O0000047,1,P0025,1,24.47,24.47
O0000047,2,P0058,1,92.1,92.1
O0000047,3,P0070,1,110.67,110.67
O0000047,4,P0024,2,37.29,74.58
O0000047,5,P0059,1,98.25,98.25
O0000048,1,P0036,1,58.17,58.17
O0000048,2,P0032,2,35.8,71.6
O0000048,3,P0065,2,71.97,143.94
O0000048,4,P0073,1,56.34,56.34
O0000049,1,P0042,2,79.38,158.76
O0000050,1,P0033,1,99.37,99.37
O0000051,1,P0024,2,37.29,74.58
O0000051,2,P0065,1,71.97,71.97
O0000052,1,P0033,3,99.37,298.11
O0000053,1,P0006,1,33.97,33.97
O0000053,2,P0005,2,78.89,157.78
O0000054,1,P0006,1,33.97,33.97
O0000055,1,P0065,2,71.97,143.94
O0000055,2,P0014,2,47.23,94.46
O0000055,3,P0064,2,36.46,72.92
O0000056,1,P0050,1,82.83,82.83
O0000057,1,P0032,2,35.8,71.6
O0000057,2,P0038,2,68.95,137.9
O0000057,3,P0059,1,98.25,98.25
O0000058,1,P0050,2,82.83,165.66
O0000059,1,P0057,1,40.4,40.4
O0000059,2,P0059,1,98.25,98.25
O0000059,3,P0010,1,101.78,101.78
O0000059,4,P0036,2,58.17,116.34
O0000060,1,P0019,1,58.43,58.43
O0000060,2,P0009,1,38.06,38.06
O0000060,3,P0042,1,79.38,79.38
O0000061,1,P0059,1,98.25,98.25
O0000061,2,P0012,1,80.31,80.31
O0000061,3,P0042,1,79.38,79.38
O0000061,4,P0056,2,43.48,86.96
O0000062,1,P0064,1,36.46,36.46
O0000062,2,P0001,1,39.81,39.81
O0000062,3,P0049,1,63.74,63.74
O0000063,1,P0065,1,71.97,71.97
O0000063,2,P0056,1,43.48,43.48
O0000063,3,P0057,1,40.4,40.4
O0000064,1,P0041,3,51.83,155.49
O0000065,1,P0065,2,71.97,143.94
O0000065,2,P0029,2,60.58,121.16
O0000065,3,P0030,1,37.94,37.94
O0000065,4,P0009,1,38.06,38.06
O0000066,1,P0006,1,33.97,33.97
O0000066,2,P0065,1,71.97,71.97
O0000066,3,P0059,1,98.25,98.25
O0000067,1,P0036,1,58.17,58.17
O0000067,2,P0038,1,68.95,68.95
O0000068,1,P0064,1,36.46,36.46
O0000068,2,P0021,1,65.9,65.9
O0000068,3,P0065,1,71.97,71.97
O0000068,4,P0024,1,37.29,37.29
O0000069,1,P0072,2,37.63,75.26
O0000069,2,P0065,1,71.97,71.97
O0000069,3,P0064,1,36.46,36.46
O0000070,1,P0004,1,47.94,47.94
O0000070,2,P0043,2,30.05,60.1
O0000070,3,P0042,1,79.38,79.38
O0000071,1,P0031,1,29.37,29.37
O0000071,2,P0065,1,71.97,71.97
O0000072,1,P0008,2,28.73,57.46
O0000072,2,P0059,1,98.25,98.25
O0000073,1,P0002,2,47.11,94.22
O0000074,1,P0061,1,129.09,129.09
O0000074,2,P0043,1,30.05,30.05
O0000074,3,P0059,2,98.25,196.5
O0000075,1,P0024,1,37.29,37.29
O0000075,2,P0001,2,39.81,79.62
O0000076,1,P0055,3,52.43,157.29
O0000076,2,P0027,1,49.51,49.51
O0000076,3,P0057,1,40.4,40.4
O0000077,1,P0065,1,71.97,71.97
O0000077,2,P0031,3,29.37,88.11
O0000077,3,P0015,1,85.65,85.65
O0000078,1,P0018,1,89.68,89.68
O0000079,1,P0050,1,82.83,82.83
O0000079,2,P0049,1,63.74,63.74
O0000080,1,P0024,1,37.29,37.29
O0000081,1,P0005,1,78.89,78.89
O0000081,2,P0024,2,37.29,74.58
O0000081,3,P0023,3,22.84,68.52
O0000081,4,P0049,1,63.74,63.74
O0000082,1,P0032,1,35.8,35.8
O0000082,2,P0020,1,54.21,54.21
O0000082,3,P0062,1,88.18,88.18
O0000083,1,P0007,1,95.26,95.26
O0000083,2,P0065,1,71.97,71.97
O0000084,1,P0065,3,71.97,215.91
O0000084,2,P0024,2,37.29,74.58
O0000084,3,P0047,2,109.33,218.66
O0000085,1,P0073,1,56.34,56.34
O0000086,1,P0065,1,71.97,71.97
O0000086,2,P0036,1,58.17,58.17
O0000086,3,P0041,2,51.83,103.66
O0000086,4,P0004,1,47.94,47.94
O0000086,5,P0043,2,30.05,60.1
O0000087,1,P0031,1,29.37,29.37
O0000088,1,P0005,1,78.89,78.89
O0000088,2,P0006,1,33.97,33.97
O0000089,1,P0068,1,28.98,28.98
O0000089,2,P0030,1,37.94,37.94
O0000089,3,P0023,1,22.84,22.84
O0000089,4,P0066,1,100.59,100.59
O0000090,1,P0024,1,37.29,37.29
O0000091,1,P0024,1,37.29,37.29
O0000092,1,P0054,3,110.67,332.01
O0000093,1,P0015,1,85.65,85.65
O0000093,2,P0059,1,98.25,98.25
O0000093,3,P0049,1,63.74,63.74
O0000093,4,P0030,1,37.94,37.94
O0000094,1,P0059,1,98.25,98.25
O0000094,2,P0006,2,33.97,67.94
O0000094,3,P0043,1,30.05,30.05
O0000095,1,P0065,1,71.97,71.97
O0000095,2,P0073,1,56.34,56.34
O0000096,1,P0012,1,80.31,80.31
O0000096,2,P0046,1,77.37,77.37
O0000096,3,P0037,2,53.44,106.88
O0000096,4,P0024,2,37.29,74.58
O0000096,5,P0065,1,71.97,71.97
O0000096,6,P0068,2,28.98,57.96
O0000097,1,P0065,1,71.97,71.97
O0000097,2,P0043,1,30.05,30.05
O0000098,1,P0051,1,68.42,68.42
O0000098,2,P0065,1,71.97,71.97
O0000099,1,P0065,2,71.97,143.94
O0000100,1,P0024,1,37.29,37.29
O0000101,1,P0024,1,37.29,37.29
O0000102,1,P0051,1,68.42,68.42
O0000102,2,P0060,1,55.12,55.12
O0000102,3,P0005,1,78.89,78.89
O0000102,4,P0011,1,45.27,45.27
O0000102,5,P0023,2,22.84,45.68
O0000103,1,P0037,1,53.44,53.44
O0000103,2,P0009,3,38.06,114.18
O0000103,3,P0059,2,98.25,196.5
O0000104,1,P0010,1,101.78,101.78
O0000104,2,P0067,2,28.46,56.92
O0000104,3,P0036,2,58.17,116.34
O0000105,1,P0057,1,40.4,40.4
O0000105,2,P0017,1,73.25,73.25
O0000106,1,P0009,1,38.06,38.06
O0000106,2,P0020,3,54.21,162.63
O0000106,3,P0042,1,79.38,79.38
O0000106,4,P0010,1,101.78,101.78
O0000107,1,P0023,1,22.84,22.84
O0000108,1,P0065,1,71.97,71.97
O0000108,2,P0025,1,24.47,24.47
O0000108,3,P0012,1,80.31,80.31
O0000109,1,P0024,1,37.29,37.29
O0000109,2,P0025,1,24.47,24.47
O0000110,1,P0059,2,98.25,196.5
O0000110,2,P0038,1,68.95,68.95
O0000111,1,P0006,1,33.97,33.97
O0000111,2,P0050,1,82.83,82.83
O0000111,3,P0068,2,28.98,57.96
O0000111,4,P0013,1,38.38,38.38
O0000111,5,P0051,1,68.42,68.42
O0000112,1,P0059,1,98.25,98.25
O0000113,1,P0065,1,71.97,71.97
O0000113,2,P0028,1,44.09,44.09
O0000114,1,P0010,1,101.78,101.78
O0000114,2,P0001,1,39.81,39.81
O0000114,3,P0059,1,98.25,98.25
O0000115,1,P0006,2,33.97,67.94
O0000116,1,P0065,1,71.97,71.97
O0000116,2,P0043,1,30.05,30.05
O0000116,3,P0056,1,43.48,43.48
O0000116,4,P0027,1,49.51,49.51
O0000116,5,P0005,2,78.89,157.78
O0000117,1,P0022,1,23.36,23.36
O0000117,2,P0024,1,37.29,37.29
O0000117,3,P0043,2,30.05,60.1
O0000117,4,P0019,1,58.43,58.43
O0000117,5,P0010,1,101.78,101.78
O0000118,1,P0009,1,38.06,38.06
O0000119,1,P0043,1,30.05,30.05
O0000120,1,P0010,1,101.78,101.78
O0000121,1,P0065,2,71.97,143.94
O0000121,2,P0068,3,28.98,86.94
O0000121,3,P0005,1,78.89,78.89
O0000122,1,P0024,1,37.29,37.29
O0000122,2,P0030,1,37.94,37.94
O0000122,3,P0043,1,30.05,30.05
O0000123,1,P0050,1,82.83,82.83
O0000123,2,P0062,1,88.18,88.18
O0000124,1,P0068,1,28.98,28.98
O0000124,2,P0006,1,33.97,33.97
O0000124,3,P0065,1,71.97,71.97
O0000124,4,P0024,1,37.29,37.29
O0000125,1,P0045,2,66.67,133.34
O0000125,2,P0065,1,71.97,71.97
O0000125,3,P0006,1,33.97,33.97
O0000125,4,P0032,2,35.8,71.6
O0000125,5,P0002,2,47.11,94.22
O0000125,6,P0022,1,23.36,23.36
O0000126,1,P0041,1,51.83,51.83
O0000127,1,P0030,1,37.94,37.94
O0000128,1,P0005,2,78.89,157.78
O0000129,1,P0065,1,71.97,71.97
O0000129,2,P0047,1,109.33,109.33
O0000129,3,P0024,1,37.29,37.29
O0000129,4,P0006,1,33.97,33.97
O0000129,5,P0041,1,51.83,51.83
O0000130,1,P0002,1,47.11,47.11
O0000130,2,P0043,3,30.05,90.15
O0000130,3,P0019,2,58.43,116.86
O0000130,4,P0050,1,82.83,82.83
O0000131,1,P0065,1,71.97,71.97
O0000131,2,P0006,2,33.97,67.94
O0000132,1,P0008,1,28.73,28.73
O0000132,2,P0043,2,30.05,60.1
O0000132,3,P0075,1,143.87,143.87
O0000132,4,P0025,1,24.47,24.47
O0000133,1,P0068,1,28.98,28.98
O0000133,2,P0031,1,29.37,29.37
O0000133,3,P0036,1,58.17,58.17
O0000134,1,P0024,1,37.29,37.29
O0000134,2,P0059,1,98.25,98.25
O0000134,3,P0011,1,45.27,45.27
O0000134,4,P0065,1,71.97,71.97
O0000134,5,P0002,1,47.11,47.11
O0000135,1,P0001,2,39.81,79.62
O0000136,1,P0067,1,28.46,28.46
O0000137,1,P0055,1,52.43,52.43
O0000138,1,P0012,1,80.31,80.31
O0000138,2,P0018,1,89.68,89.68
O0000138,3,P0011,2,45.27,90.54
O0000139,1,P0025,1,24.47,24.47
O0000139,2,P0001,3,39.81,119.43
O0000139,3,P0014,1,47.23,47.23
O0000139,4,P0068,3,28.98,86.94
O0000139,5,P0065,2,71.97,143.94
O0000140,1,P0012,1,80.31,80.31
O0000141,1,P0025,1,24.47,24.47
O0000142,1,P0068,1,28.98,28.98
O0000143,1,P0025,1,24.47,24.47
O0000143,2,P0013,2,38.38,76.76
O0000143,3,P0043,1,30.05,30.05
O0000144,1,P0025,1,24.47,24.47
O0000145,1,P0065,1,71.97,71.97
O0000145,2,P0024,2,37.29,74.58
O0000146,1,P0069,1,21.83,21.83
O0000146,2,P0066,1,100.59,100.59
O0000147,1,P0038,1,68.95,68.95
O0000147,2,P0032,1,35.8,35.8
O0000147,3,P0002,2,47.11,94.22
O0000148,1,P0065,1,71.97,71.97
O0000148,2,P0006,2,33.97,67.94
O0000148,3,P0020,1,54.21,54.21
O0000149,1,P0032,2,35.8,71.6
O0000150,1,P0059,2,98.25,196.5
O0000150,2,P0047,1,109.33,109.33
O0000151,1,P0065,1,71.97,71.97
O0000151,2,P0010,1,101.78,101.78
O0000152,1,P0042,1,79.38,79.38
O0000153,1,P0014,1,47.23,47.23
O0000153,2,P0025,1,24.47,24.47
O0000154,1,P0009,1,38.06,38.06
O0000154,2,P0024,1,37.29,37.29
O0000155,1,P0043,1,30.05,30.05
O0000155,2,P0059,2,98.25,196.5
O0000155,3,P0024,1,37.29,37.29
O0000156,1,P0030,1,37.94,37.94
O0000157,1,P0036,1,58.17,58.17
O0000158,1,P0065,1,71.97,71.97
O0000158,2,P0021,1,65.9,65.9
O0000159,1,P0073,1,56.34,56.34
O0000159,2,P0059,2,98.25,196.5
O0000159,3,P0004,1,47.94,47.94
O0000159,4,P0033,1,99.37,99.37
O0000160,1,P0006,1,33.97,33.97
O0000160,2,P0018,1,89.68,89.68
O0000161,1,P0018,1,89.68,89.68
O0000161,2,P0006,2,33.97,67.94
O0000161,3,P0024,1,37.29,37.29
O0000162,1,P0024,2,37.29,74.58
O0000163,1,P0002,1,47.11,47.11
O0000163,2,P0025,1,24.47,24.47
O0000163,3,P0024,1,37.29,37.29
O0000163,4,P0068,1,28.98,28.98
O0000163,5,P0006,1,33.97,33.97
O0000163,6,P0047,2,109.33,218.66
O0000164,1,P0047,1,109.33,109.33
O0000165,1,P0001,2,39.81,79.62
O0000165,2,P0033,2,99.37,198.74
O0000165,3,P0047,1,109.33,109.33
O0000166,1,P0047,1,109.33,109.33
O0000166,2,P0042,1,79.38,79.38
O0000167,1,P0021,1,65.9,65.9
O0000167,2,P0024,1,37.29,37.29
O0000168,1,P0024,1,37.29,37.29
O0000168,2,P0042,1,79.38,79.38
O0000168,3,P0033,2,99.37,198.74
O0000168,4,P0059,1,98.25,98.25
O0000169,1,P0065,1,71.97,71.97
O0000169,2,P0071,2,63.13,126.26
O0000169,3,P0004,1,47.94,47.94
O0000170,1,P0037,1,53.44,53.44
O0000171,1,P0043,1,30.05,30.05
O0000171,2,P0065,1,71.97,71.97
O0000172,1,P0038,1,68.95,68.95
O0000172,2,P0022,1,23.36,23.36
O0000172,3,P0002,1,47.11,47.11
O0000172,4,P0042,1,79.38,79.38
O0000173,1,P0018,3,89.68,269.04
O0000173,2,P0070,1,110.67,110.67
O0000174,1,P0044,1,125.17,125.17
O0000175,1,P0042,1,79.38,79.38
O0000175,2,P0046,1,77.37,77.37
O0000175,3,P0024,2,37.29,74.58
O0000176,1,P0043,1,30.05,30.05
O0000176,2,P0013,1,38.38,38.38
O0000176,3,P0023,1,22.84,22.84
O0000177,1,P0034,2,85.17,170.34
O0000178,1,P0024,2,37.29,74.58
O0000178,2,P0042,3,79.38,238.14
O0000178,3,P0002,1,47.11,47.11
O0000178,4,P0011,2,45.27,90.54
O0000179,1,P0014,1,47.23,47.23
O0000179,2,P0043,1,30.05,30.05
O0000180,1,P0042,1,79.38,79.38
O0000180,2,P0051,3,68.42,205.26
O0000181,1,P0010,3,101.78,305.34
O0000181,2,P0020,1,54.21,54.21
O0000181,3,P0025,2,24.47,48.94
O0000182,1,P0017,1,73.25,73.25
O0000182,2,P0065,1,71.97,71.97
O0000182,3,P0042,1,79.38,79.38
O0000182,4,P0040,1,22.29,22.29
O0000183,1,P0065,2,71.97,143.94
O0000183,2,P0004,1,47.94,47.94
O0000183,3,P0023,3,22.84,68.52
O0000183,4,P0010,1,101.78,101.78
O0000183,5,P0068,1,28.98,28.98
O0000184,1,P0039,1,30.31,30.31
O0000184,2,P0055,1,52.43,52.43
O0000184,3,P0014,1,47.23,47.23
O0000184,4,P0008,1,28.73,28.73
O0000184,5,P0065,2,71.97,143.94
O0000185,1,P0045,2,66.67,133.34
O0000185,2,P0023,1,22.84,22.84
O0000185,3,P0065,1,71.97,71.97
O0000185,4,P0056,2,43.48,86.96
O0000186,1,P0065,1,71.97,71.97
O0000186,2,P0036,2,58.17,116.34
O0000186,3,P0059,1,98.25,98.25
O0000187,1,P0069,1,21.83,21.83
O0000187,2,P0070,3,110.67,332.01
O0000187,3,P0005,1,78.89,78.89
O0000188,1,P0043,1,30.05,30.05
O0000189,1,P0031,1,29.37,29.37
O0000189,2,P0065,2,71.97,143.94
O0000190,1,P0017,1,73.25,73.25
O0000190,2,P0045,1,66.67,66.67
O0000190,3,P0042,2,79.38,158.76
O0000191,1,P0018,2,89.68,179.36
O0000191,2,P0070,1,110.67,110.67
O0000191,3,P0002,1,47.11,47.11
O0000192,1,P0005,1,78.89,78.89
O0000192,2,P0065,1,71.97,71.97
O0000193,1,P0067,2,28.46,56.92
O0000194,1,P0025,1,24.47,24.47
O0000194,2,P0009,2,38.06,76.12
O0000195,1,P0042,2,79.38,158.76
O0000195,2,P0030,1,37.94,37.94
O0000195,3,P0043,1,30.05,30.05
O0000195,4,P0072,1,37.63,37.63
O0000195,5,P0020,1,54.21,54.21
O0000196,1,P0065,1,71.97,71.97
O0000196,2,P0037,1,53.44,53.44
O0000196,3,P0050,1,82.83,82.83
O0000196,4,P0042,2,79.38,158.76
O0000196,5,P0025,1,24.47,24.47
O0000196,6,P0047,1,109.33,109.33
O0000197,1,P0002,2,47.11,94.22
O0000197,2,P0017,2,73.25,146.5
O0000198,1,P0032,1,35.8,35.8
O0000198,2,P0007,1,95.26,95.26
O0000198,3,P0024,1,37.29,37.29
O0000199,1,P0024,1,37.29,37.29
O0000199,2,P0025,1,24.47,24.47
O0000200,1,P0073,1,56.34,56.34
O0000200,2,P0045,1,66.67,66.67
O0000200,3,P0056,1,43.48,43.48
O0000201,1,P0002,2,47.11,94.22
O0000201,2,P0050,2,82.83,165.66
O0000202,1,P0065,1,71.97,71.97
O0000202,2,P0001,1,39.81,39.81
O0000203,1,P0005,1,78.89,78.89
O0000203,2,P0009,1,38.06,38.06
O0000203,3,P0042,1,79.38,79.38
O0000204,1,P0050,2,82.83,165.66
O0000204,2,P0024,1,37.29,37.29
O0000205,1,P0038,1,68.95,68.95
O0000205,2,P0050,1,82.83,82.83
O0000205,3,P0010,1,101.78,101.78
O0000205,4,P0020,3,54.21,162.63
O0000206,1,P0006,2,33.97,67.94
O0000206,2,P0011,1,45.27,45.27
O0000206,3,P0009,1,38.06,38.06
O0000206,4,P0043,2,30.05,60.1
O0000206,5,P0004,2,47.94,95.88
O0000207,1,P0070,1,110.67,110.67
O0000208,1,P0050,1,82.83,82.83
O0000208,2,P0065,1,71.97,71.97
O0000208,3,P0024,1,37.29,37.29
O0000208,4,P0017,1,73.25,73.25
O0000209,1,P0036,1,58.17,58.17
O0000209,2,P0042,1,79.38,79.38
O0000209,3,P0025,1,24.47,24.47
O0000209,4,P0026,2,48.94,97.88
O0000209,5,P0065,1,71.97,71.97
O0000209,6,P0016,1,58.47,58.47
O0000210,1,P0024,2,37.29,74.58
O0000211,1,P0065,2,71.97,143.94
O0000211,2,P0018,1,89.68,89.68
O0000211,3,P0016,1,58.47,58.47
O0000212,1,P0024,1,37.29,37.29
O0000213,1,P0057,2,40.4,80.8
O0000213,2,P0059,1,98.25,98.25
O0000213,3,P0002,1,47.11,47.11
O0000213,4,P0025,1,24.47,24.47
O0000213,5,P0042,2,79.38,158.76
O0000213,6,P0010,1,101.78,101.78
O0000214,1,P0009,1,38.06,38.06
O0000215,1,P0024,1,37.29,37.29
O0000215,2,P0022,1,23.36,23.36
O0000216,1,P0033,2,99.37,198.74
O0000216,2,P0070,2,110.67,221.34
O0000217,1,P0065,1,71.97,71.97
O0000217,2,P0006,1,33.97,33.97
O0000217,3,P0054,1,110.67,110.67
O0000217,4,P0047,1,109.33,109.33
O0000218,1,P0039,1,30.31,30.31
O0000219,1,P0067,2,28.46,56.92
O0000220,1,P0063,1,54.3,54.3
O0000220,2,P0024,1,37.29,37.29
O0000220,3,P0014,1,47.23,47.23
O0000221,1,P0046,1,77.37,77.37
O0000221,2,P0031,2,29.37,58.74
O0000221,3,P0023,1,22.84,22.84
O0000221,4,P0024,1,37.29,37.29
O0000221,5,P0015,1,85.65,85.65
O0000221,6,P0055,2,52.43,104.86
O0000222,1,P0046,1,77.37,77.37
O0000222,2,P0025,1,24.47,24.47
O0000222,3,P0031,2,29.37,58.74
O0000223,1,P0024,1,37.29,37.29
O0000223,2,P0036,2,58.17,116.34
O0000223,3,P0018,1,89.68,89.68
O0000224,1,P0051,1,68.42,68.42
O0000224,2,P0005,2,78.89,157.78
O0000224,3,P0013,1,38.38,38.38
O0000225,1,P0065,2,71.97,143.94
O0000226,1,P0042,1,79.38,79.38
O0000227,1,P0012,2,80.31,160.62
O0000228,1,P0065,1,71.97,71.97
O0000228,2,P0005,1,78.89,78.89
O0000228,3,P0023,1,22.84,22.84
O0000229,1,P0059,1,98.25,98.25
O0000230,1,P0025,1,24.47,24.47
O0000230,2,P0054,1,110.67,110.67
O0000230,3,P0026,3,48.94,146.82
O0000230,4,P0002,1,47.11,47.11
O0000231,1,P0065,1,71.97,71.97
O0000232,1,P0065,2,71.97,143.94
O0000232,2,P0024,1,37.29,37.29
O0000233,1,P0032,1,35.8,35.8
O0000234,1,P0027,1,49.51,49.51
O0000235,1,P0070,1,110.67,110.67
O0000235,2,P0065,1,71.97,71.97
O0000235,3,P0059,3,98.25,294.75
O0000235,4,P0057,1,40.4,40.4
O0000236,1,P0050,1,82.83,82.83
O0000236,2,P0004,2,47.94,95.88
O0000236,3,P0001,3,39.81,119.43
O0000236,4,P0044,2,125.17,250.34
O0000236,5,P0070,1,110.67,110.67
O0000236,6,P0042,1,79.38,79.38
O0000237,1,P0031,1,29.37,29.37
O0000237,2,P0024,1,37.29,37.29
O0000237,3,P0047,1,109.33,109.33
O0000237,4,P0057,1,40.4,40.4
O0000238,1,P0040,1,22.29,22.29
O0000238,2,P0041,3,51.83,155.49
O0000238,3,P0057,1,40.4,40.4
O0000239,1,P0051,1,68.42,68.42
O0000239,2,P0057,2,40.4,80.8
O0000239,3,P0065,1,71.97,71.97
O0000239,4,P0068,1,28.98,28.98
O0000240,1,P0065,1,71.97,71.97
O0000240,2,P0031,2,29.37,58.74
O0000240,3,P0016,1,58.47,58.47
O0000241,1,P0055,1,52.43,52.43
O0000241,2,P0061,1,129.09,129.09
O0000241,3,P0012,1,80.31,80.31
O0000241,4,P0025,2,24.47,48.94
O0000241,5,P0024,1,37.29,37.29
O0000242,1,P0009,1,38.06,38.06
O0000242,2,P0044,1,125.17,125.17
O0000242,3,P0070,1,110.67,110.67
O0000243,1,P0061,1,129.09,129.09
O0000243,2,P0069,1,21.83,21.83
O0000243,3,P0054,2,110.67,221.34
O0000244,1,P0065,1,71.97,71.97
O0000244,2,P0025,1,24.47,24.47
O0000245,1,P0031,1,29.37,29.37
O0000245,2,P0070,2,110.67,221.34
O0000245,3,P0059,3,98.25,294.75
O0000246,1,P0033,1,99.37,99.37
O0000247,1,P0065,2,71.97,143.94
O0000247,2,P0043,1,30.05,30.05
O0000247,3,P0010,2,101.78,203.56
O0000247,4,P0070,1,110.67,110.67
O0000247,5,P0046,1,77.37,77.37
O0000248,1,P0065,3,71.97,215.91
O0000248,2,P0013,1,38.38,38.38
O0000248,3,P0032,1,35.8,35.8
O0000249,1,P0064,1,36.46,36.46
O0000249,2,P0055,1,52.43,52.43
O0000249,3,P0037,2,53.44,106.88
O0000249,4,P0024,2,37.29,74.58
O0000249,5,P0043,1,30.05,30.05
O0000249,6,P0033,1,99.37,99.37
O0000250,1,P0010,2,101.78,203.56
O0000251,1,P0024,1,37.29,37.29
O0000251,2,P0050,1,82.83,82.83
O0000252,1,P0073,1,56.34,56.34
O0000252,2,P0006,1,33.97,33.97
O0000253,1,P0055,1,52.43,52.43
O0000253,2,P0030,1,37.94,37.94
O0000253,3,P0065,1,71.97,71.97
O0000254,1,P0036,1,58.17,58.17
O0000254,2,P0002,1,47.11,47.11
O0000254,3,P0021,1,65.9,65.9
O0000254,4,P0006,1,33.97,33.97
O0000255,1,P0025,1,24.47,24.47
O0000255,2,P0065,1,71.97,71.97
O0000255,3,P0042,1,79.38,79.38
O0000256,1,P0065,2,71.97,143.94
