order_id,customer_id,store_id,order_datetime,order_status,payment_method,delivery_distance_km,delivery_type
O0000058,C01390,S021,2025-02-27 15:49:00,Completed,Card,12.94,Standard
O0000059,C02473,S021,2025-01-27 17:07:00,Completed,UPI,1364.92,Standard
O0000060,C10860,S018,2025-05-25 12:21:00,Completed,Card,1747.87,Standard
O0000061,C05917,S019,2025-02-27 20:57:00,Completed,Card,1347.95,Standard
O0000062,C05878,S009,2025-01-15 16:04:00,Completed,Card,5.13,Express
O0000063,C02283,S021,2025-10-06 11:52:00,Completed,Cash on Delivery,1742.27,Express
O0000064,C06069,S002,2025-11-06 17:18:00,Completed,Cash on Delivery,1731.78,Standard
O0000065,C11356,S021,2025-06-26 12:43:00,Completed,Card,20.18,Standard
O0000066,C05991,S019,2025-08-02 13:11:00,Completed,UPI,1340.48,Express
O0000067,C03488,S010,2025-09-16 20:28:00,Completed,UPI,853.27,Standard
O0000068,C04909,S008,2025-05-04 19:13:00,Cancelled,UPI,1678.84,Standard
O0000069,C08294,S004,2025-07-09 17:10:00,Completed,UPI,1665.68,Standard
O0000070,C06281,S010,2025-08-04 19:06:00,Completed,UPI,851.19,Standard
O0000071,C02136,S006,2025-02-06 21:52:00,Completed,Wallet,845.13,Standard
O0000072,C11178,S001,2025-11-19 21:38:00,Completed,Wallet,1736.93,Express
O0000073,C02296,S021,2025-04-13 14:08:00,Completed,Card,1155.71,Standard
O0000074,C11182,S009,2025-06-30 10:03:00,Cancelled,UPI,1149.68,Standard
O0000075,C10621,S010,2025-08-18 20:37:00,Completed,UPI,851.94,Express
O0000076,C11496,S019,2025-01-22 15:13:00,Completed,UPI,1349.77,Standard
O0000077,C08673,S011,2025-04-15 19:06:00,Completed,UPI,1562.63,Standard
O0000078,C11890,S001,2025-04-25 22:40:00,Completed,Cash on Delivery,1140.82,Express
O0000079,C00610,S010,2025-06-24 10:24:00,Completed,UPI,1748.4,Standard
O0000080,C11970,S005,2025-02-08 23:28:00,Completed,UPI,1732.83,Express
O0000081,C02385,S010,2025-06-05 10:18:00,Completed,Wallet,1741.77,Standard
O0000082,C10583,S021,2025-12-22 20:06:00,Completed,Card,1150.34,Standard
O0000083,C04182,S001,2025-03-15 17:40:00,Completed,UPI,1744.0,Express
O0000084,C01515,S012,2025-03-20 17:37:00,Completed,Cash on Delivery,1148.28,Standard
O0000085,C06055,S009,2025-03-25 22:50:00,Completed,Card,1142.68,Standard
O0000086,C08049,S009,2025-08-27 16:23:00,Completed,Cash on Delivery,1345.91,Standard
O0000087,C01016,S010,2025-08-17 16:06:00,Completed,Card,844.12,Express
O0000088,C05598,S017,2025-02-25 23:10:00,Completed,Card,14.43,Standard
O0000089,C01789,S013,2025-08-05 14:31:00,Completed,UPI,1140.28,Express
O0000090,C00758,S004,2025-05-20 19:19:00,Completed,Card,1147.32,Standard
O0000091,C10988,S010,2025-05-30 19:08:00,Completed,UPI,6.29,Standard
O0000092,C10001,S020,2025-04-10 17:48:00,Completed,Card,11.82,Standard
O0000093,C00925,S019,2025-01-30 16:49:00,Completed,Card,1562.59,Standard
O0000094,C01846,S018,2025-05-27 21:28:00,Completed,UPI,1729.56,Standard
O0000095,C00407,S020,2025-02-01 12:52:00,Completed,Wallet,839.45,Standard
O0000096,C01633,S011,2025-03-04 11:08:00,Completed,UPI,1351.27,Standard
O0000097,C03032,S018,2025-10-23 21:31:00,Completed,Wallet,10.6,Standard
O0000098,C02082,S010,2025-01-10 22:41:00,Cancelled,UPI,1557.1,Standard
O0000099,C03743,S010,2025-09-23 17:30:00,Cancelled,UPI,835.71,Standard
O0000100,C03393,S010,2025-12-24 20:22:00,Completed,UPI,4.18,Standard
O0000101,C08408,S015,2025-04-06 12:41:00,Completed,Card,1549.44,Standard
O0000102,C03994,S014,2025-02-02 14:13:00,Completed,Card,1554.98,Express
O0000103,C06582,S005,2025-12-26 16:20:00,Completed,UPI,4.75,Express
O0000104,C08614,S001,2025-08-08 13:12:00,Completed,UPI,1736.09,Standard
O0000105,C10083,S010,2025-09-17 19:30:00,Completed,Wallet,3.65,Express
O0000106,C11137,S019,2025-02-16 15:16:00,Completed,UPI,22.3,Standard
O0000107,C11728,S010,2025-12-22 21:38:00,Completed,Card,837.36,Express
O0000108,C04591,S010,2025-07-09 14:48:00,Completed,UPI,8.23,Standard
O0000109,C06914,S001,2025-01-12 20:41:00,Completed,Wallet,1739.42,Express
O0000110,C00726,S004,2025-11-17 12:01:00,Completed,Wallet,834.54,Standard
O0000111,C05794,S022,2025-02-01 22:07:00,Completed,UPI,1726.97,Express
O0000112,C01503,S009,2025-10-20 15:36:00,Completed,UPI,1357.7,Standard
O0000113,C11809,S004,2025-10-04 15:47:00,Completed,Wallet,8.66,Express
O0000114,C00555,S024,2025-10-08 10:37:00,Completed,UPI,9.28,Standard
O0000115,C00927,S019,2025-02-03 08:37:00,Completed,Card,1667.85,Standard
O0000116,C10326,S022,2025-05-17 20:05:00,Completed,UPI,833.36,Standard
O0000117,C05621,S017,2025-04-07 15:13:00,Completed,UPI,1351.56,Express
O0000118,C08311,S009,2025-05-31 18:54:00,Completed,UPI,6.64,Standard
O0000119,C03238,S001,2025-06-09 23:58:00,Completed,UPI,1152.33,Standard
O0000120,C02836,S010,2025-01-08 19:11:00,Completed,Wallet,1754.91,Express
O0000121,C01609,S006,2025-04-17 12:39:00,Completed,Card,1548.42,Standard
O0000122,C02051,S008,2025-10-03 23:43:00,Completed,Wallet,838.11,Standard
O0000123,C05119,S010,2025-06-27 22:23:00,Completed,UPI,10.58,Standard
O0000124,C03311,S014,2025-07-20 20:31:00,Completed,Card,10.94,Standard
O0000125,C08258,S015,2025-12-05 19:43:00,Completed,UPI,1347.8,Standard
O0000126,C11190,S019,2025-11-16 20:53:00,Cancelled,UPI,1564.81,Express
O0000127,C09614,S018,2025-08-04 19:57:00,Completed,UPI,1731.48,Standard
O0000128,C00610,S008,2025-12-09 08:13:00,Completed,UPI,1167.28,Standard
O0000129,C11145,S019,2025-09-25 17:55:00,Completed,Wallet,1341.33,Standard
O0000130,C00089,S010,2025-07-10 11:30:00,Completed,Card,847.27,Standard
O0000131,C09650,S010,2025-10-18 16:18:00,Completed,Card,846.42,Standard
O0000132,C02099,S004,2025-05-10 18:31:00,Cancelled,UPI,849.43,Express
O0000133,C02801,S011,2025-12-19 22:05:00,Completed,Wallet,1335.67,Standard
O0000134,C11267,S018,2025-05-09 20:34:00,Completed,Wallet,1548.56,Standard
O0000135,C09779,S019,2025-05-25 18:30:00,Completed,Wallet,1354.77,Standard
O0000136,C00117,S014,2025-08-20 10:20:00,Completed,Card,1745.92,Standard
O0000137,C03367,S008,2025-07-24 13:08:00,Completed,Card,16.61,Standard
O0000138,C10598,S018,2025-05-02 10:09:00,Completed,Cash on Delivery,837.75,Express
O0000139,C08232,S008,2025-02-10 18:26:00,Completed,UPI,843.31,Standard
O0000140,C03765,S024,2025-12-29 22:29:00,Cancelled,UPI,1159.28,Standard
O0000141,C11217,S020,2025-07-15 18:20:00,Completed,Card,9.8,Standard
O0000142,C05726,S009,2025-08-11 21:56:00,Completed,Wallet,14.34,Standard
O0000143,C10424,S024,2025-02-20 11:31:00,Completed,Card,840.69,Standard
O0000144,C01135,S009,2025-06-11 19:59:00,Completed,UPI,1743.32,Express
O0000145,C05043,S007,2025-01-17 17:21:00,Cancelled,UPI,1671.17,Standard
O0000146,C03099,S001,2025-07-01 17:40:00,Completed,UPI,1151.97,Standard
O0000147,C05629,S010,2025-02-28 12:24:00,Completed,Wallet,5.38,Standard
O0000148,C10669,S010,2025-06-26 12:52:00,Completed,UPI,1740.47,Standard
O0000149,C01784,S022,2025-06-08 17:50:00,Completed,Card,1735.17,Standard
O0000150,C11362,S013,2025-03-03 23:05:00,Completed,Card,1732.29,Standard
O0000151,C05716,S019,2025-03-23 11:47:00,Completed,UPI,1664.15,Express
O0000152,C03565,S006,2025-04-27 19:34:00,Completed,UPI,1745.51,Express
O0000153,C01940,S004,2025-03-31 14:42:00,Completed,UPI,1145.98,Standard
O0000154,C08333,S018,2025-10-26 09:20:00,Completed,UPI,1729.1,Express
O0000155,C06833,S003,2025-11-09 22:05:00,Completed,UPI,1562.18,Standard
O0000156,C04531,S010,2025-10-04 15:52:00,Cancelled,UPI,1745.24,Standard
O0000157,C10685,S024,2025-03-01 20:33:00,Completed,Card,850.05,Standard
O0000158,C01127,S010,2025-06-07 08:00:00,Completed,UPI,1551.91,Express
O0000159,C08077,S010,2025-01-08 19:03:00,Completed,UPI,2.95,Express
O0000160,C05972,S009,2025-08-16 15:47:00,Completed,UPI,3.24,Standard
O0000161,C02687,S002,2025-11-16 19:25:00,Completed,Card,14.53,Standard
O0000162,C07156,S005,2025-06-08 18:27:00,Completed,UPI,1153.18,Express
O0000163,C07253,S009,2025-08-12 21:43:00,Completed,Card,1162.7,Standard
O0000164,C07522,S015,2025-05-07 23:34:00,Completed,UPI,1545.78,Standard
O0000165,C04663,S019,2025-06-06 12:06:00,Completed,UPI,16.09,Standard
O0000166,C06163,S013,2025-06-22 12:47:00,Completed,UPI,1342.44,Express
O0000167,C03305,S010,2025-08-06 20:26:00,Completed,Card,1742.01,Standard
O0000168,C01916,S006,2025-08-10 12:00:00,Completed,UPI,1.12,Standard
O0000169,C09969,S001,2025-04-15 12:24:00,Cancelled,UPI,1740.36,Standard
O0000170,C07557,S021,2025-09-29 08:14:00,Completed,Cash on Delivery,1169.78,Standard
O0000171,C04768,S010,2025-08-28 12:04:00,Completed,Cash on Delivery,846.06,Express
O0000172,C00387,S019,2025-05-06 17:36:00,Completed,UPI,1559.15,Standard
O0000173,C02587,S006,2025-01-31 16:26:00,Completed,Card,1746.88,Standard
O0000174,C06614,S008,2025-11-29 09:21:00,Completed,Card,1679.5,Standard
O0000175,C10148,S009,2025-12-04 16:05:00,Completed,UPI,1743.0,Standard
O0000176,C04297,S017,2025-01-28 16:33:00,Completed,UPI,1150.91,Express
O0000177,C08550,S001,2025-01-20 18:41:00,Completed,Cash on Delivery,17.72,Standard
O0000178,C04857,S010,2025-08-27 22:34:00,Completed,Card,5.19,Standard
O0000179,C04277,S010,2025-02-02 22:22:00,Completed,Wallet,13.69,Standard
O0000180,C11839,S010,2025-03-11 21:05:00,Completed,UPI,6.92,Standard
O0000181,C02290,S008,2025-02-09 17:18:00,Completed,Card,1678.05,Standard
O0000182,C08715,S008,2025-05-15 11:06:00,Completed,UPI,839.66,Standard
O0000183,C00185,S019,2025-04-28 21:34:00,Completed,UPI,6.8,Express
O0000184,C05838,S006,2025-10-20 11:30:00,Completed,UPI,1739.73,Standard
O0000185,C08737,S019,2025-11-08 22:44:00,Completed,UPI,1342.66,Standard
O0000186,C11165,S002,2025-04-16 16:55:00,Completed,Card,1731.17,Express
O0000187,C02194,S016,2025-08-06 16:45:00,Completed,Wallet,1684.94,Standard
O0000188,C00883,S010,2025-10-28 15:57:00,Completed,Wallet,834.27,Standard
O0000189,C03276,S016,2025-10-15 09:26:00,Completed,UPI,837.62,Express
O0000190,C08360,S010,2025-11-16 13:48:00,Cancelled,Wallet,14.4,Standard
O0000191,C06370,S002,2025-03-18 12:40:00,Cancelled,UPI,1555.78,Standard
O0000192,C04505,S020,2025-10-08 17:22:00,Completed,Wallet,5.17,Standard
O0000193,C06091,S009,2025-11-30 16:45:00,Completed,Wallet,1162.92,Express
O0000194,C01634,S002,2025-10-22 22:36:00,Completed,UPI,1734.1,Standard
O0000195,C00575,S009,2025-07-31 23:24:00,Completed,UPI,1151.33,Standard
O0000196,C11165,S008,2025-12-28 18:29:00,Completed,Cash on Delivery,1150.6,Express
O0000197,C01611,S007,2025-04-22 14:12:00,Cancelled,UPI,1548.83,Express
O0000198,C07373,S016,2025-06-10 11:53:00,Completed,Cash on Delivery,1158.5,Standard
O0000199,C10375,S018,2025-08-18 19:48:00,Completed,Cash on Delivery,1734.61,Standard
O0000200,C09238,S002,2025-06-03 18:32:00,Completed,Card,840.38,Standard
O0000201,C05137,S010,2025-08-28 20:03:00,Completed,UPI,847.45,Standard
O0000202,C09415,S023,2025-11-14 14:21:00,Completed,Card,1680.08,Standard
O0000203,C05426,S010,2025-02-28 20:17:00,Completed,Card,4.86,Standard
O0000204,C01551,S001,2025-07-20 23:56:00,Completed,Card,1351.79,Standard
O0000205,C06154,S009,2025-09-02 23:02:00,Completed,Wallet,8.7,Standard
O0000206,C04212,S001,2025-07-03 14:24:00,Completed,Wallet,16.18,Express
O0000207,C00136,S004,2025-02-01 11:48:00,Completed,Card,1141.32,Standard
O0000208,C01034,S013,2025-08-22 18:30:00,Completed,Wallet,1347.12,Standard
O0000209,C08852,S013,2025-11-22 21:39:00,Completed,UPI,1141.98,Standard
O0000210,C09450,S009,2025-05-17 17:15:00,Completed,UPI,4.46,Express
O0000211,C02852,S019,2025-11-12 11:14:00,Completed,UPI,1666.77,Express
O0000212,C11208,S024,2025-06-14 23:03:00,Completed,Wallet,15.86,Standard
O0000213,C03048,S006,2025-02-09 20:49:00,Completed,UPI,1746.54,Standard
O0000214,C07591,S019,2025-05-30 14:51:00,Completed,Wallet,1341.82,Standard
O0000215,C03588,S007,2025-05-04 10:43:00,Completed,UPI,1678.8,Express
O0000216,C03089,S008,2025-02-14 12:45:00,Cancelled,Wallet,850.89,Standard
O0000217,C11117,S019,2025-01-12 20:45:00,Cancelled,Card,1555.31,Standard
O0000218,C01266,S010,2025-12-01 19:48:00,Completed,Card,835.73,Standard
O0000219,C04323,S006,2025-03-19 19:19:00,Completed,UPI,19.48,Express
O0000220,C05581,S018,2025-03-24 20:29:00,Completed,Wallet,1732.47,Express
O0000221,C01621,S015,2025-01-22 21:20:00,Completed,UPI,1350.92,Standard
O0000222,C10852,S009,2025-05-07 21:07:00,Completed,Wallet,1737.54,Express
O0000223,C10189,S010,2025-09-16 16:38:00,Completed,UPI,846.54,Express
O0000224,C00268,S006,2025-09-23 21:36:00,Completed,Card,820.2,Standard
O0000225,C07054,S008,2025-12-13 20:10:00,Completed,Card,1679.55,Express
O0000226,C00072,S001,2025-08-29 17:44:00,Completed,Card,1739.27,Standard
O0000227,C08226,S010,2025-01-03 22:32:00,Completed,Card,8.95,Express
O0000228,C06411,S008,2025-08-26 14:11:00,Cancelled,UPI,835.22,Standard
O0000229,C09193,S003,2025-06-20 16:29:00,Completed,UPI,1671.01,Standard
O0000230,C07470,S001,2025-01-08 10:08:00,Completed,Wallet,1349.2,Standard
O0000231,C04062,S010,2025-05-08 22:44:00,Completed,UPI,844.19,Standard
O0000232,C03092,S024,2025-01-08 18:15:00,Completed,UPI,840.67,Express
O0000233,C11727,S015,2025-05-21 20:28:00,Completed,UPI,1679.99,Standard
O0000234,C09415,S008,2025-06-23 11:44:00,Completed,UPI,9.54,Standard
O0000235,C09438,S008,2025-12-06 12:31:00,Completed,Cash on Delivery,4.56,Standard
O0000236,C00745,S019,2025-07-21 17:32:00,Completed,Wallet,1666.91,Standard
O0000237,C04568,S019,2025-12-02 18:31:00,Completed,Card,1561.75,Express
O0000238,C01393,S017,2025-01-21 20:46:00,Completed,Cash on Delivery,1734.08,Express
O0000239,C01498,S005,2025-04-20 08:13:00,Completed,Wallet,1741.15,Standard
O0000240,C06568,S002,2025-08-08 12:19:00,Cancelled,UPI,853.49,Express
O0000241,C03645,S015,2025-08-28 15:30:00,Completed,Wallet,3.97,Standard
O0000242,C08316,S002,2025-09-18 12:03:00,Completed,UPI,6.34,Standard
O0000243,C10690,S017,2025-05-22 16:25:00,Cancelled,UPI,1737.4,Standard
O0000244,C02776,S019,2025-04-07 20:17:00,Completed,UPI,1665.87,Standard
O0000245,C10184,S002,2025-08-21 21:32:00,Completed,Card,1738.28,Express
O0000246,C11068,S019,2025-05-25 19:28:00,Completed,Card,17.83,Standard
O0000247,C11030,S010,2025-03-09 18:25:00,Completed,Card,1560.89,Standard
O0000248,C04009,S001,2025-07-09 20:45:00,Completed,UPI,8.52,Standard
O0000249,C06926,S010,2025-01-19 22:08:00,Completed,UPI,8.38,Standard
O0000250,C11366,S008,2025-11-15 14:39:00,Completed,UPI,843.13,Express
O0000251,C03431,S018,2025-04-18 19:53:00,Cancelled,UPI,1541.72,Standard
O0000252,C01829,S009,2025-02-08 17:26:00,Completed,UPI,1157.0,Standard
O0000253,C04740,S020,2025-01-13 17:40:00,Completed,Card,6.94,Standard
O0000254,C03367,S004,2025-10-17 22:40:00,Completed,UPI,25.97,Standard
O0000255,C07645,S008,2025-01-30 19:54:00,Completed,Card,1148.43,Standard
O0000256,C05763,S008,2025-09-24 19:27:00,Completed,Card,9.13,Express
O0000257,C11281,S005,2025-07-04 18:35:00,Completed,UPI,1144.4,Express
O0000258,C11913,S008,2025-08-09 18:35:00,Completed,UPI,8.98,Express
O0000259,C07738,S010,2025-10-04 16:35:00,Completed,Wallet,1740.98,Standard
O0000260,C04537,S024,2025-04-13 10:15:00,Completed,UPI,4.9,Standard
O0000261,C05071,S010,2025-04-27 16:19:00,Completed,UPI,846.01,Standard
O0000262,C08664,S009,2025-01-04 11:14:00,Completed,Wallet,6.82,Express
O0000263,C11517,S009,2025-09-08 19:24:00,Completed,Wallet,1149.56,Express
O0000264,C02360,S010,2025-11-22 11:07:00,Completed,Cash on Delivery,1726.59,Standard
O0000265,C05881,S008,2025-12-02 20:06:00,Completed,UPI,834.51,Express
O0000266,C01994,S019,2025-01-13 19:51:00,Completed,UPI,10.42,Express
O0000267,C00151,S019,2025-12-01 17:25:00,Completed,UPI,1347.37,Express
O0000268,C04923,S001,2025-11-19 17:04:00,Completed,UPI,1743.39,Standard
O0000269,C09023,S022,2025-08-11 20:02:00,Completed,Wallet,1555.36,Standard
O0000270,C11163,S006,2025-12-04 22:06:00,Completed,UPI,1565.41,Standard
O0000271,C03203,S008,2025-05-13 15:51:00,Completed,Wallet,1161.2,Standard
O0000272,C09975,S021,2025-12-26 08:57:00,Completed,Card,1162.18,Standard
O0000273,C08807,S012,2025-08-08 16:10:00,Cancelled,Card,1157.16,Standard
O0000274,C03230,S009,2025-06-20 23:09:00,Completed,UPI,1140.81,Standard
O0000275,C06702,S006,2025-11-03 21:09:00,Completed,Cash on Delivery,831.33,Express
O0000276,C00724,S021,2025-06-09 17:34:00,Completed,UPI,5.9,Standard
O0000277,C00687,S021,2025-12-11 21:21:00,Cancelled,UPI,1161.69,Standard
O0000278,C01657,S008,2025-06-30 15:24:00,Cancelled,UPI,11.11,Standard
O0000279,C00763,S024,2025-07-01 17:00:00,Completed,Card,9.78,Express
O0000280,C03319,S019,2025-12-03 18:00:00,Completed,UPI,1547.76,Express
O0000281,C10248,S010,2025-07-13 22:15:00,Completed,UPI,1738.58,Standard
O0000282,C08947,S005,2025-08-18 14:48:00,Cancelled,UPI,1734.75,Standard
O0000283,C06406,S010,2025-06-22 23:21:00,Completed,Card,1551.77,Express
O0000284,C10445,S001,2025-06-02 23:14:00,Completed,UPI,1157.73,Standard
O0000285,C08575,S006,2025-12-06 23:23:00,Completed,Wallet,1553.8,Standard
O0000286,C11477,S017,2025-02-10 14:27:00,Completed,UPI,1151.88,Standard
O0000287,C03099,S009,2025-11-03 17:50:00,Completed,UPI,1151.46,Standard
O0000288,C03141,S004,2025-01-25 17:23:00,Completed,Wallet,1139.75,Standard
O0000289,C02606,S004,2025-01-05 17:23:00,Completed,Card,835.42,Standard
O0000290,C10757,S021,2025-09-03 14:46:00,Completed,UPI,1746.29,Express
O0000291,C00998,S002,2025-12-14 18:37:00,Completed,Wallet,1736.11,Express
O0000292,C05530,S004,2025-05-12 20:17:00,Completed,Card,5.24,Standard
O0000293,C11538,S010,2025-05-15 21:25:00,Completed,UPI,850.14,Standard
O0000294,C11430,S010,2025-06-18 23:04:00,Completed,UPI,839.32,Express
O0000295,C06303,S008,2025-01-22 12:57:00,Cancelled,Card,1154.12,Standard
O0000296,C11940,S016,2025-09-23 14:01:00,Completed,UPI,1663.59,Express
O0000297,C03445,S010,2025-08-25 12:07:00,Completed,UPI,1734.52,Standard
O0000298,C11856,S008,2025-04-17 11:21:00,Completed,Cash on Delivery,11.07,Express
O0000299,C06927,S008,2025-01-10 19:06:00,Cancelled,Wallet,835.7,Standard
O0000300,C07071,S001,2025-05-09 17:27:00,Completed,Card,1150.88,Standard
O0000301,C09488,S011,2025-06-10 21:44:00,Cancelled,Cash on Delivery,1346.12,Express
O0000302,C00691,S010,2025-08-29 13:38:00,Completed,UPI,836.39,Express
O0000303,C02451,S010,2025-08-02 19:31:00,Completed,UPI,12.58,Standard
O0000304,C00429,S010,2025-12-13 11:27:00,Completed,Wallet,1564.15,Standard
O0000305,C04190,S018,2025-06-15 18:21:00,Completed,Card,1545.7,Express
O0000306,C06709,S005,2025-02-10 20:40:00,Completed,UPI,1739.55,Standard
O0000307,C09616,S021,2025-06-20 09:59:00,Completed,UPI,1169.01,Standard
O0000308,C05270,S004,2025-12-06 21:40:00,Completed,UPI,1144.46,Standard
O0000309,C07943,S011,2025-05-28 16:50:00,Completed,UPI,5.98,Express
O0000310,C06411,S014,2025-09-28 18:01:00,Completed,Card,19.13,Standard
O0000311,C08220,S010,2025-10-02 21:36:00,Completed,Wallet,833.83,Standard
O0000312,C06595,S010,2025-05-08 08:14:00,Completed,UPI,833.87,Standard
O0000313,C00211,S008,2025-06-15 19:26:00,Completed,Card,1167.19,Standard
O0000314,C08711,S019,2025-06-18 23:03:00,Completed,Card,1678.16,Standard
O0000315,C08141,S010,2025-01-21 22:59:00,Completed,UPI,9.45,Express
O0000316,C08041,S001,2025-05-22 21:06:00,Completed,Card,1731.36,Express
O0000317,C07171,S014,2025-01-20 22:56:00,Completed,UPI,834.31,Standard
O0000318,C02740,S009,2025-01-20 19:41:00,Completed,UPI,1149.57,Standard
O0000319,C11359,S010,2025-09-10 15:22:00,Completed,Wallet,1555.64,Express
O0000320,C00284,S010,2025-12-26 12:44:00,Cancelled,Cash on Delivery,9.25,Standard
O0000321,C09261,S010,2025-12-09 18:45:00,Completed,Card,6.26,Standard
O0000322,C10679,S006,2025-03-18 17:12:00,Completed,Card,1554.43,Standard
O0000323,C01679,S001,2025-04-14 18:41:00,Completed,Card,1355.61,Standard
O0000324,C04177,S018,2025-09-19 15:19:00,Cancelled,Wallet,1552.1,Standard
O0000325,C01046,S005,2025-03-12 13:42:00,Completed,Card,1722.42,Standard
O0000326,C06492,S006,2025-03-06 19:15:00,Completed,UPI,3.59,Standard
O0000327,C09355,S004,2025-05-22 22:31:00,Cancelled,UPI,1656.3,Standard
O0000328,C09014,S015,2025-11-01 13:51:00,Completed,UPI,1342.96,Standard
O0000329,C11373,S015,2025-02-11 12:31:00,Completed,Card,1685.1,Standard
O0000330,C06510,S009,2025-01-05 18:56:00,Cancelled,Card,1361.77,Standard
O0000331,C05692,S012,2025-01-11 21:04:00,Completed,Wallet,1139.53,Standard
O0000332,C01977,S011,2025-03-18 14:16:00,Completed,UPI,1669.4,Standard
O0000333,C06045,S010,2025-07-05 17:52:00,Completed,UPI,1553.25,Express
